작업시간,작업키워드,상품번호,페이지,순위,아이피주소
2020-09-25 18:40:23,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:41:00,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 18:41:41,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:42:17,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:44:19,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 18:46:29,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 18:47:05,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:48:30,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:49:06,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:51:14,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:53:00,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:53:36,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:54:13,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:57:14,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:57:49,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:59:40,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 19:00:16,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 19:00:53,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 19:01:34,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 19:02:12,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 19:02:48,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 19:04:08,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 19:06:15,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 19:07:58,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 19:09:42,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 19:10:48,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 19:11:27,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 19:13:10,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 19:14:52,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 19:16:54,일자목베개,2128125023,1,2,192.168.0.23
